Year,Total_Storage(t)
2000,413253.39677888
2001,413253.39677888
2002,413253.39677888
2003,413253.39677888
2004,413253.39677888
2005,413253.39677888
2006,413253.39677888
2007,413253.39677888
2008,413253.39677888
2009,413253.39677888
2010,413253.39677888
2011,413253.39677888
2012,413253.39677888
2013,413253.39677888
2014,413253.39677888
2015,413253.39677888
2016,413253.39677888
2017,413253.39677888
2018,413253.39677888
2019,413253.39677888
2020,413253.39677888
