Year,Export,Import
2014,92115.0,0.0
2015,3268538.0,1718.0
2016,3846386.0,1000.0
2017,3931678.0,442.0
2018,4292834.0,44035.0
2019,5059840.0,63376.0
2020,3406051.0,50295.0
