Cell_ID,Lake_Volume_m3
32,239.3390519
33,1815.232628
149,100248.7856
150,85950.45891
267,16250.34431
268,13024.10262
269,18188.19571
383,18060.37599
384,2511.015316
385,2076.336712
386,5449.653022
491,5717.923654
494,2.357619045
510,47834.05115
606,125493.2752
609,70772.26035
610,25012.47627
611,10906.64131
612,3028016.384
615,146665.0389
616,5781.478012
620,10072.32816
622,31472954.98
624,2190.971019
630,958583.5608
724,30828.59373
725,45819.52099
727,2742069.373
729,56006.46967
730,7912.226796
731,1933.825859
734,15619.97236
743,509619.1707
746,2003.776386
747,1203247.451
749,5000.120762
751,47866.42224
842,4625.567336
847,17752.52917
848,962924.2815
852,10300.18956
860,26075.39953
863,2565934.945
864,28708.74125
866,204360.1181
867,5741080.101
959,1452.584566
960,4184.228613
964,4648.113208
965,12999078.93
968,1230970.633
975,18440.66641
977,10171.17939
979,2990.585993
980,3832.809783
981,12901.87926
983,159684.6133
984,12824.49097
987,500258.2192
1074,20105.50128
1075,25287.01737
1076,59411.42442
1078,9196.75463
1079,2140.833811
1081,81960.99389
1085,8672.779055
1087,244608.1725
1092,133117.868
1094,7195.73602
1098,77973.9813
1101,8560.063632
1102,442310.7712
1103,13535.35961
1192,13730.4215
1194,51311.01878
1195,3094.031487
1196,14972.60417
1197,34737.20316
1198,28011342.62
1199,6757.635622
1200,25855.55631
1201,53688.45306
1202,38627.75478
1203,47742.49041
1204,5192.839976
1207,25555.91178
1211,17441.12884
1218,1663796.822
1219,130189.8957
1220,4239.607976
1221,75606.27719
1222,15807.85223
1223,4441.901417
1309,36824.51416
1310,82795.01605
1313,15998.32995
1315,68358.74376
1316,4339.569129
1317,1842134.251
1318,128717.7103
1319,20485.68783
1320,15291.33561
1321,82687.00614
1322,19771.16145
1323,50167.32161
1328,16851.58645
1335,4055.311092
1336,618046.8642
1428,651097.8688
1429,16188.33718
1432,66607.11063
1433,25944.78532
1434,8694.401456
1439,530204.4977
1448,5774.921309
1450,4653.334876
1452,2565.556743
1453,18970.09707
1454,42625.23809
1455,5297.646444
1456,5619.230817
1457,81552.30214
1458,8761.37074
1536,2521.247097
1539,34733.70539
1545,12513.553
1547,1169470.071
1548,2078.168656
1549,14298.60189
1552,11618.90945
1553,4273.370712
1559,4532.554413
1561,4031.357765
1562,3082.418668
1567,3360.487077
1568,10399.21906
1569,3432.99621
1570,5013.865699
1571,59609.19261
1572,7423.506221
1573,647919.319
1574,11184.331
1575,140273.3392
1576,9115.588506
1655,145447.0781
1657,1520846.469
1662,88284.91243
1663,5080.490876
