Item,Year,Unit,Value,,,,,,,,,Year,Exports,Population,Per Capita Export,Area_population,Area Export
Other food,2014,t,18273.56,,,,,,,,,,,,,,
Other food,2015,An,2682,,,,,,,,,,,,,,
Other food,2015,1000 An,10,,,,,,,,,,,,,,
Other food,2015,t,21994.14,,,,,,,,,,,,,,
Other food,2016,An,1674,,,,,,,,,,,,,,
Other food,2016,1000 An,20,,,,,,,,,,,,,,
Other food,2016,t,20838.14,,,,,,,,,,,,,,
Other food,2017,An,1070,,,,,,,,,,,,,,
Other food,2017,t,22093.71,,,,,,,,,,,,,,
Other food,2018,An,1164,,,,,,,,,,,,,,
Other food,2018,t,22450.95,,,,,,,,,,,,,,
Other food,2019,An,1983,,,,,,,,,,,,,,
Other food,2019,t,25784.95,,,,,,,,,,,,,,
Other food,2020,An,2614,,,,,,,,,,,,,,
Other food,2020,1000 An,10,,,,,,,,,,,,,,
Other food,2020,t,24905.91,,,,,,,,,,,,,,
Oilseeds,2000,t,2886.8,,,,,,,,,,,,,,
Oilseeds,2001,t,30,,,,,,,,,,,,,,
Oilseeds,2002,t,9,,,,,,,,,,,,,,
Oilseeds,2003,t,11,,,,,,,,,,,,,,
Oilseeds,2004,t,28,,,,,,,,,,,,,,
Oilseeds,2005,t,241,,,,,,,,,,,,,,
Oilseeds,2006,t,24,,,,,,,,,,,,,,
Oilseeds,2007,t,547,,,,,,,,,,,,,,
Oilseeds,2008,t,183,,,,,,,,,,,,,,
Oilseeds,2009,t,63,,,,,,,,,,,,,,
Oilseeds,2010,t,53,,,,,,,,,,,,,,
Oilseeds,2011,t,22,,,,,,,,,,,,,,
Oilseeds,2012,t,29,,,,,,,,,,,,,,
Oilseeds,2013,t,54,,,,,,,,,,,,,,
Oilseeds,2014,t,136.83,,,,,,,,,,,,,,
Oilseeds,2015,t,80.5,,,,,,,,,,,,,,
Oilseeds,2016,t,161.16,,,,,,,,,,,,,,
Oilseeds,2017,t,509.95,,,,,,,,,,,,,,
Oilseeds,2018,t,664.25,,,,,,,,,,,,,,
Oilseeds,2019,t,595.37,,,,,,,,,,,,,,
Oilseeds,2020,t,1052.98,,,,,,,,,,,,,,
Other food nes,2000,t,19498.6,,,,,,,,,,,,,,
Other food nes,2001,t,19862,,,,,,,,,,,,,,
Other food nes,2002,t,19610,,,,,,,,,,,,,,
Other food nes,2003,t,20253,,,,,,,,,,,,,,
Other food nes,2004,t,18365,,,,,,,,,,,,,,
Other food nes,2005,t,19707,,,,,,,,,,,,,,
Other food nes,2006,t,20181,,,,,,,,,,,,,,
Other food nes,2007,t,18802,,,,,,,,,,,,,,
Other food nes,2008,t,19061,,,,,,,,,,,,,,
Other food nes,2009,t,17151,,,,,,,,,,,,,,
Other food nes,2010,t,17152,,,,,,,,,,,,,,
Other food nes,2011,t,16249,,,,,,,,,,,,,,
Other food nes,2012,t,15007,,,,,,,,,,,,,,
Other food nes,2013,t,17505,,,,,,,,,,,,,,
Other food nes,2014,t,18136.73,,,,,,,,,,,,,,
Other food nes,2015,t,21913.63,,,,,,,,,,,,,,
Other food nes,2016,t,20676.98,,,,,,,,,,,,,,
Other food nes,2017,t,21583.76,,,,,,,,,,,,,,
Other food nes,2018,t,21786.7,,,,,,,,,,,,,,
Other food nes,2019,t,25189.58,,,,,,,,,,,,,,
Other food nes,2020,t,23852.92,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2000,t,220427.23,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2001,t,204940,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2002,t,216530,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2003,t,227285,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2004,t,213285,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2005,t,244271,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2006,t,254226,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2007,t,224040,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2008,t,188101,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2009,t,190955,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2010,t,216224,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2011,t,208824,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2012,t,245418,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2013,t,222276,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2014,t,284667.63,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2015,t,297242.74,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2016,t,333820.56,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2017,t,339223.35,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2018,t,374755.94,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2019,t,385432.13,,,,,,,,,,,,,,
Fodder and Feeding Stuff,2020,t,422863.45,,,,,,,,,,,,,,
Natural Rubber,2000,t,11.05,,,,,,,,,,,,,,
Natural Rubber,2001,t,7,,,,,,,,,,,,,,
Natural Rubber,2002,t,11,,,,,,,,,,,,,,
Natural Rubber,2003,t,14,,,,,,,,,,,,,,
Natural Rubber,2004,t,1,,,,,,,,,,,,,,
Natural Rubber,2005,t,1,,,,,,,,,,,,,,
Natural Rubber,2006,t,2,,,,,,,,,,,,,,
Natural Rubber,2007,t,2,,,,,,,,,,,,,,
Natural Rubber,2008,t,7,,,,,,,,,,,,,,
Natural Rubber,2009,t,1,,,,,,,,,,,,,,
Natural Rubber,2010,t,4,,,,,,,,,,,,,,
Natural Rubber,2011,t,2,,,,,,,,,,,,,,
Natural Rubber,2012,t,0,,,,,,,,,,,,,,
Natural Rubber,2013,t,5,,,,,,,,,,,,,,
Natural Rubber,2014,t,12.59,,,,,,,,,,,,,,
Natural Rubber,2015,t,10.71,,,,,,,,,,,,,,
Natural Rubber,2016,t,3.31,,,,,,,,,,,,,,
Natural Rubber,2017,t,5.84,,,,,,,,,,,,,,
Natural Rubber,2018,t,10.43,,,,,,,,,,,,,,
Natural Rubber,2019,t,5.66,,,,,,,,,,,,,,
Natural Rubber,2020,t,4.66,,,,,,,,,,,,,,
Textile Fibres,2000,t,4081,,,,,,,,,,,,,,
Textile Fibres,2001,t,3409,,,,,,,,,,,,,,
Textile Fibres,2002,t,4301,,,,,,,,,,,,,,
Textile Fibres,2003,t,4841,,,,,,,,,,,,,,
Textile Fibres,2004,t,4761,,,,,,,,,,,,,,
Textile Fibres,2005,t,4498,,,,,,,,,,,,,,
Textile Fibres,2006,t,4008,,,,,,,,,,,,,,
Textile Fibres,2007,t,4352,,,,,,,,,,,,,,
Textile Fibres,2008,t,4211,,,,,,,,,,,,,,
Textile Fibres,2009,t,4498,,,,,,,,,,,,,,
Textile Fibres,2010,t,4236,,,,,,,,,,,,,,
Textile Fibres,2011,t,4252,,,,,,,,,,,,,,
Textile Fibres,2012,t,3788,,,,,,,,,,,,,,
Textile Fibres,2013,t,3788,,,,,,,,,,,,,,
Textile Fibres,2014,t,3883.34,,,,,,,,,,,,,,
Textile Fibres,2015,t,3953.68,,,,,,,,,,,,,,
Textile Fibres,2016,t,4184.93,,,,,,,,,,,,,,
Textile Fibres,2017,t,4163.17,,,,,,,,,,,,,,
Textile Fibres,2018,t,3831.59,,,,,,,,,,,,,,
Textile Fibres,2019,t,3533.7,,,,,,,,,,,,,,
Textile Fibres,2020,t,2774.28,,,,,,,,,,,,,,
Hides and skins,2000,t,12606.03,,,,,,,,,,,,,,
Hides and skins,2001,t,11066,,,,,,,,,,,,,,
Hides and skins,2002,t,11361,,,,,,,,,,,,,,
Hides and skins,2003,t,10737,,,,,,,,,,,,,,
Hides and skins,2004,t,11065,,,,,,,,,,,,,,
Hides and skins,2005,t,11700,,,,,,,,,,,,,,
Hides and skins,2006,t,10517,,,,,,,,,,,,,,
Hides and skins,2007,t,10406,,,,,,,,,,,,,,
Hides and skins,2008,t,11563,,,,,,,,,,,,,,
Hides and skins,2009,t,12602,,,,,,,,,,,,,,
Hides and skins,2010,t,12225,,,,,,,,,,,,,,
Hides and skins,2011,t,12233,,,,,,,,,,,,,,
Hides and skins,2012,t,11795,,,,,,,,,,,,,,
Hides and skins,2013,t,12661,,,,,,,,,,,,,,
Hides and skins,2014,t,12974.31,,,,,,,,,,,,,,
Hides and skins,2015,t,14815.11,,,,,,,,,,,,,,
Hides and skins,2016,t,13647.68,,,,,,,,,,,,,,
Hides and skins,2017,t,13986.37,,,,,,,,,,,,,,
Hides and skins,2018,t,14677.06,,,,,,,,,,,,,,
Hides and skins,2019,t,15420.94,,,,,,,,,,,,,,
Hides and skins,2020,t,15578.5,,,,,,,,,,,,,,
Crude Materials nes,2000,t,0.04,,,,,,,,,,,,,,
Crude Materials nes,2001,t,0,,,,,,,,,,,,,,
Crude Materials nes,2002,t,0,,,,,,,,,,,,,,
Crude Materials nes,2003,t,0,,,,,,,,,,,,,,
Crude Materials nes,2004,t,0,,,,,,,,,,,,,,
Crude Materials nes,2005,t,0,,,,,,,,,,,,,,
Crude Materials nes,2006,t,0,,,,,,,,,,,,,,
Crude Materials nes,2007,t,0,,,,,,,,,,,,,,
Crude Materials nes,2008,t,0,,,,,,,,,,,,,,
Crude Materials nes,2009,t,0,,,,,,,,,,,,,,
Crude Materials nes,2010,t,2,,,,,,,,,,,,,,
Crude Materials nes,2011,t,0,,,,,,,,,,,,,,
Crude Materials nes,2012,t,0,,,,,,,,,,,,,,
Crude Materials nes,2013,t,0,,,,,,,,,,,,,,
Crude Materials nes,2014,t,476.7,,,,,,,,,,,,,,
Crude Materials nes,2014,No,29,,,,,,,,,,,,,,
Crude Materials nes,2015,t,475.02,,,,,,,,,,,,,,
Crude Materials nes,2016,t,392.46,,,,,,,,,,,,,,
Crude Materials nes,2017,t,342.79,,,,,,,,,,,,,,
Crude Materials nes,2018,t,310.12,,,,,,,,,,,,,,
Crude Materials nes,2019,t,287.07,,,,,,,,,,,,,,
Crude Materials nes,2019,No,0,,,,,,,,,,,,,,
Crude Materials nes,2020,t,269.78,,,,,,,,,,,,,,
Crude Materials nes,2020,No,0,,,,,,,,,,,,,,
Tobacco,2000,t,2436.08,,,,,,,,,,,,,,
Tobacco,2001,t,2115,,,,,,,,,,,,,,
Tobacco,2002,t,2696,,,,,,,,,,,,,,
Tobacco,2003,t,3227,,,,,,,,,,,,,,
Tobacco,2004,t,5241,,,,,,,,,,,,,,
Tobacco,2005,t,1729,,,,,,,,,,,,,,
Tobacco,2006,t,255,,,,,,,,,,,,,,
Tobacco,2007,t,287,,,,,,,,,,,,,,
Tobacco,2008,t,354,,,,,,,,,,,,,,
Tobacco,2009,t,116,,,,,,,,,,,,,,
Tobacco,2010,t,5,,,,,,,,,,,,,,
Tobacco,2011,t,15,,,,,,,,,,,,,,
Tobacco,2012,t,16,,,,,,,,,,,,,,
Tobacco,2013,t,7,,,,,,,,,,,,,,
Tobacco,2014,t,4.52,,,,,,,,,,,,,,
Tobacco,2015,t,1.87,,,,,,,,,,,,,,
Tobacco,2016,t,19.32,,,,,,,,,,,,,,
Tobacco,2017,t,9.8,,,,,,,,,,,,,,
Tobacco,2018,t,8.94,,,,,,,,,,,,,,
Tobacco,2019,t,10.76,,,,,,,,,,,,,,
Tobacco,2020,t,11.34,,,,,,,,,,,,,,
"Cereals, primary",2000,t,250.18,,,,,,,,,,,,,,
"Cereals, primary",2001,t,2187,,,,,,,,,,,,,,
"Cereals, primary",2002,t,272,,,,,,,,,,,,,,
"Cereals, primary",2003,t,251,,,,,,,,,,,,,,
"Cereals, primary",2004,t,275,,,,,,,,,,,,,,
"Cereals, primary",2005,t,327,,,,,,,,,,,,,,
"Cereals, primary",2006,t,309,,,,,,,,,,,,,,
"Cereals, primary",2007,t,288,,,,,,,,,,,,,,
"Cereals, primary",2008,t,295,,,,,,,,,,,,,,
"Cereals, primary",2009,t,149,,,,,,,,,,,,,,
"Cereals, primary",2010,t,211,,,,,,,,,,,,,,
"Cereals, primary",2011,t,1392,,,,,,,,,,,,,,
"Cereals, primary",2012,t,432,,,,,,,,,,,,,,
"Cereals, primary",2013,t,159,,,,,,,,,,,,,,
"Cereals, primary",2014,t,374.99,,,,,,,,,,,,,,
"Cereals, primary",2015,t,132.61,,,,,,,,,,,,,,
"Cereals, primary",2016,t,779.82,,,,,,,,,,,,,,
"Cereals, primary",2017,t,845.91,,,,,,,,,,,,,,
"Cereals, primary",2018,t,1271.67,,,,,,,,,,,,,,
"Cereals, primary",2019,t,1208.82,,,,,,,,,,,,,,
"Cereals, primary",2020,t,983.18,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2000,t,1124.25,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2001,t,686.7,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2002,t,246.3,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2003,t,293.9,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2004,t,417.4,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2005,t,485.1,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2006,t,1411.3,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2007,t,430.7,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2008,t,246.7,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2009,t,188.8,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2010,t,176.1,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2011,t,115.7,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2012,t,115.7,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2013,t,193.9,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2014,t,323.93,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2015,t,317.79,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2016,t,127.91,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2017,t,129.87,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2018,t,86.47,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2019,t,78.13,,,,,,,,,,,,,,
"Beef and Buffalo Meat, primary",2020,t,19.09,,,,,,,,,,,,,,
Sheep and Goat Meat,2000,t,13.85,,,,,,,,,,,,,,
Sheep and Goat Meat,2001,t,192,,,,,,,,,,,,,,
Sheep and Goat Meat,2002,t,599,,,,,,,,,,,,,,
Sheep and Goat Meat,2003,t,559,,,,,,,,,,,,,,
Sheep and Goat Meat,2004,t,623,,,,,,,,,,,,,,
Sheep and Goat Meat,2005,t,496,,,,,,,,,,,,,,
Sheep and Goat Meat,2006,t,61,,,,,,,,,,,,,,
Sheep and Goat Meat,2007,t,55,,,,,,,,,,,,,,
Sheep and Goat Meat,2008,t,100,,,,,,,,,,,,,,
Sheep and Goat Meat,2009,t,16,,,,,,,,,,,,,,
Sheep and Goat Meat,2010,t,4,,,,,,,,,,,,,,
Sheep and Goat Meat,2011,t,6,,,,,,,,,,,,,,
Sheep and Goat Meat,2012,t,7,,,,,,,,,,,,,,
Sheep and Goat Meat,2013,t,57,,,,,,,,,,,,,,
Sheep and Goat Meat,2014,t,22.67,,,,,,,,,,,,,,
Sheep and Goat Meat,2015,t,8.47,,,,,,,,,,,,,,
Sheep and Goat Meat,2016,t,2.12,,,,,,,,,,,,,,
Sheep and Goat Meat,2017,t,1124.02,,,,,,,,,,,,,,
Sheep and Goat Meat,2018,t,701.55,,,,,,,,,,,,,,
Sheep and Goat Meat,2019,t,633.53,,,,,,,,,,,,,,
Sheep and Goat Meat,2020,t,272.8,,,,,,,,,,,,,,
"Meat, Poultry",2000,t,150.94,,,,,,,,,,,,,,
"Meat, Poultry",2001,t,3,,,,,,,,,,,,,,
"Meat, Poultry",2002,t,3,,,,,,,,,,,,,,
"Meat, Poultry",2003,t,26,,,,,,,,,,,,,,
"Meat, Poultry",2004,t,31,,,,,,,,,,,,,,
"Meat, Poultry",2005,t,73,,,,,,,,,,,,,,
"Meat, Poultry",2006,t,70,,,,,,,,,,,,,,
"Meat, Poultry",2007,t,8,,,,,,,,,,,,,,
"Meat, Poultry",2008,t,57,,,,,,,,,,,,,,
"Meat, Poultry",2009,t,60,,,,,,,,,,,,,,
"Meat, Poultry",2010,t,5,,,,,,,,,,,,,,
"Meat, Poultry",2011,t,25,,,,,,,,,,,,,,
"Meat, Poultry",2012,t,52,,,,,,,,,,,,,,
"Meat, Poultry",2013,t,125,,,,,,,,,,,,,,
"Meat, Poultry",2014,t,291.49,,,,,,,,,,,,,,
"Meat, Poultry",2015,t,142.59,,,,,,,,,,,,,,
"Meat, Poultry",2016,t,90.36,,,,,,,,,,,,,,
"Meat, Poultry",2017,t,45.3,,,,,,,,,,,,,,
"Meat, Poultry",2018,t,43.1,,,,,,,,,,,,,,
"Meat, Poultry",2019,t,97.9,,,,,,,,,,,,,,
"Meat, Poultry",2020,t,165.63,,,,,,,,,,,,,,
Butter and Ghee,2000,t,25041.32,,,,,,,,,,,,,,
Butter and Ghee,2001,t,9781.2,,,,,,,,,,,,,,
Butter and Ghee,2002,t,6996,,,,,,,,,,,,,,
Butter and Ghee,2003,t,6580.2,,,,,,,,,,,,,,
Butter and Ghee,2004,t,4184.4,,,,,,,,,,,,,,
Butter and Ghee,2005,t,10857,,,,,,,,,,,,,,
Butter and Ghee,2006,t,2461.8,,,,,,,,,,,,,,
Butter and Ghee,2007,t,15536.4,,,,,,,,,,,,,,
Butter and Ghee,2008,t,21304.8,,,,,,,,,,,,,,
Butter and Ghee,2009,t,22994.4,,,,,,,,,,,,,,
Butter and Ghee,2010,t,14658.6,,,,,,,,,,,,,,
Butter and Ghee,2011,t,3016.2,,,,,,,,,,,,,,
Butter and Ghee,2012,t,6.6,,,,,,,,,,,,,,
Butter and Ghee,2013,t,13.2,,,,,,,,,,,,,,
Butter and Ghee,2014,t,3.04,,,,,,,,,,,,,,
Butter and Ghee,2015,t,3530.33,,,,,,,,,,,,,,
Butter and Ghee,2016,t,7193.14,,,,,,,,,,,,,,
Butter and Ghee,2017,t,1290.37,,,,,,,,,,,,,,
Butter and Ghee,2018,t,73.59,,,,,,,,,,,,,,
Butter and Ghee,2019,t,79.23,,,,,,,,,,,,,,
Butter and Ghee,2020,t,122.36,,,,,,,,,,,,,,
Cheese (All Kinds),2000,t,84558.4,,,,,,,,,,,,,,
Cheese (All Kinds),2001,t,82137.8,,,,,,,,,,,,,,
Cheese (All Kinds),2002,t,75235.2,,,,,,,,,,,,,,
Cheese (All Kinds),2003,t,78971.4,,,,,,,,,,,,,,
Cheese (All Kinds),2004,t,80420.2,,,,,,,,,,,,,,
Cheese (All Kinds),2005,t,79897.4,,,,,,,,,,,,,,
Cheese (All Kinds),2006,t,78502.4,,,,,,,,,,,,,,
Cheese (All Kinds),2007,t,66313.8,,,,,,,,,,,,,,
Cheese (All Kinds),2008,t,63131,,,,,,,,,,,,,,
Cheese (All Kinds),2009,t,58443.4,,,,,,,,,,,,,,
Cheese (All Kinds),2010,t,59397.8,,,,,,,,,,,,,,
Cheese (All Kinds),2011,t,61700.4,,,,,,,,,,,,,,
Cheese (All Kinds),2012,t,58273.8,,,,,,,,,,,,,,
Cheese (All Kinds),2013,t,61804,,,,,,,,,,,,,,
Cheese (All Kinds),2014,t,55217.69,,,,,,,,,,,,,,
Cheese (All Kinds),2015,t,50676.44,,,,,,,,,,,,,,
Cheese (All Kinds),2016,t,52143.46,,,,,,,,,,,,,,
Cheese (All Kinds),2017,t,48886.93,,,,,,,,,,,,,,
Cheese (All Kinds),2018,t,50232.6,,,,,,,,,,,,,,
Cheese (All Kinds),2019,t,45633.33,,,,,,,,,,,,,,
Cheese (All Kinds),2020,t,34617.79,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2000,t,10.23,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2001,t,0,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2002,t,0,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2003,t,2.1,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2004,t,12.6,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2005,t,94.5,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2006,t,4.2,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2007,t,2.1,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2008,t,2.1,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2009,t,2.1,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2010,t,6.3,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2011,t,487.2,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2012,t,176.4,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2013,t,25.2,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2014,t,0.33,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2015,t,1.87,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2016,t,2.91,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2017,t,0.1,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2018,t,1.21,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2019,t,0.68,,,,,,,,,,,,,,
Evaporated & Condensed Milk,2020,t,2.67,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2000,t,8505.77,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2001,t,0,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2002,t,114,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2003,t,7.6,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2004,t,0,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2005,t,45.6,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2006,t,15.2,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2007,t,22.8,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2008,t,121.6,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2009,t,38,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2010,t,91.2,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2011,t,30.4,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2012,t,10997.2,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2013,t,21637.2,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2014,t,4379.37,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2015,t,11318.51,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2016,t,2029.39,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2017,t,7392.54,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2018,t,7582.46,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2019,t,31376.05,,,,,,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2020,t,4299.17,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2000,t,33805.59,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2001,t,9859.3,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2002,t,7698.2,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2003,t,7082.5,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2004,t,4915.1,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2005,t,12068.5,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2006,t,5639.9,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2007,t,18032.5,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2008,t,24195.5,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2009,t,26082.1,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2010,t,18503.1,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2011,t,8965.9,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2012,t,13805.3,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2013,t,24307.4,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2014,t,7367.9,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2015,t,17621.14,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2016,t,12440.79,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2017,t,11721.22,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2018,t,26144.96,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2019,t,55023.08,,,,,,,,,,,,,,
"Dairy Products, milk equivalent",2020,t,26964.37,,,,,,,,,,,,,,
