Item,Year,Value (tons),,,,,,,,,
Cereals,2000,310265.56,,,,Row Labels,Sum of Value (tons),Norway Population,Per Capita Imports,Area_population,Area_Imports (Tons)
Other food nes,2019,592638.2,,,,,,,,,
Other food nes,2020,499262.35,,,,,,,,,
Fodder and Feeding Stuff,2000,217369.79,,,,,,,,,
Fodder and Feeding Stuff,2001,256678,,,,,,,,,
Fodder and Feeding Stuff,2002,328779,,,,,,,,,
Fodder and Feeding Stuff,2003,319166,,,,,,,,,
Fodder and Feeding Stuff,2004,311362,,,,,,,,,
Fodder and Feeding Stuff,2005,284877,,,,,,,,,
Fodder and Feeding Stuff,2006,348350,,,,,,,,,
Fodder and Feeding Stuff,2007,405468,,,,,,,,,
Fodder and Feeding Stuff,2008,400491,,,,,,,,,
Fodder and Feeding Stuff,2009,382132,,,,,,,,,
Fodder and Feeding Stuff,2010,404123,,,,,,,,,
Fodder and Feeding Stuff,2011,489235,,,,,,,,,
Fodder and Feeding Stuff,2012,530442,,,,,,,,,
Fodder and Feeding Stuff,2013,602359,,,,,,,,,
Fodder and Feeding Stuff,2014,672783.31,,,,,,,,,
Fodder and Feeding Stuff,2015,650762.54,,,,,,,,,
Fodder and Feeding Stuff,2016,643971.98,,,,,,,,,
Fodder and Feeding Stuff,2017,708061.28,,,,,,,,,
Fodder and Feeding Stuff,2018,874728.65,,,,,,,,,
Fodder and Feeding Stuff,2019,787296.1,,,,,,,,,
Fodder and Feeding Stuff,2020,906233.47,,,,,,,,,
Natural Rubber,2000,156.56,,,,,,,,,
Natural Rubber,2001,189,,,,,,,,,
Natural Rubber,2002,95,,,,,,,,,
Natural Rubber,2003,137,,,,,,,,,
Natural Rubber,2004,189,,,,,,,,,
Natural Rubber,2005,150,,,,,,,,,
Natural Rubber,2006,182,,,,,,,,,
Natural Rubber,2007,243,,,,,,,,,
Natural Rubber,2008,198,,,,,,,,,
Natural Rubber,2009,66,,,,,,,,,
Natural Rubber,2010,141,,,,,,,,,
Natural Rubber,2011,169,,,,,,,,,
Natural Rubber,2012,112,,,,,,,,,
Natural Rubber,2013,486,,,,,,,,,
Natural Rubber,2014,204.65,,,,,,,,,
Natural Rubber,2015,78.49,,,,,,,,,
Natural Rubber,2016,129.28,,,,,,,,,
Natural Rubber,2017,108.42,,,,,,,,,
Natural Rubber,2018,72.47,,,,,,,,,
Natural Rubber,2019,87.37,,,,,,,,,
Natural Rubber,2020,59.84,,,,,,,,,
Textile Fibres,2000,1544.91,,,,,,,,,
Textile Fibres,2001,1702,,,,,,,,,
Textile Fibres,2002,1540,,,,,,,,,
Textile Fibres,2003,1524,,,,,,,,,
Textile Fibres,2004,796,,,,,,,,,
Textile Fibres,2005,946,,,,,,,,,
Textile Fibres,2006,586,,,,,,,,,
Textile Fibres,2007,1602,,,,,,,,,
Textile Fibres,2008,945,,,,,,,,,
Textile Fibres,2009,867,,,,,,,,,
Textile Fibres,2010,816,,,,,,,,,
Textile Fibres,2011,659,,,,,,,,,
Textile Fibres,2012,1312,,,,,,,,,
Textile Fibres,2013,1244,,,,,,,,,
Textile Fibres,2014,848.31,,,,,,,,,
Textile Fibres,2015,920.89,,,,,,,,,
Textile Fibres,2016,918.1,,,,,,,,,
Textile Fibres,2017,1062.8,,,,,,,,,
Textile Fibres,2018,903.87,,,,,,,,,
Textile Fibres,2019,971.93,,,,,,,,,
Textile Fibres,2020,1122.94,,,,,,,,,
Hides and skins,2000,3979.86,,,,,,,,,
Hides and skins,2001,3721,,,,,,,,,
Hides and skins,2002,1766,,,,,,,,,
Hides and skins,2003,2330,,,,,,,,,
Hides and skins,2004,2166,,,,,,,,,
Hides and skins,2005,1499,,,,,,,,,
Hides and skins,2006,1055,,,,,,,,,
Hides and skins,2007,1284,,,,,,,,,
Hides and skins,2008,2199,,,,,,,,,
Hides and skins,2009,1393,,,,,,,,,
Hides and skins,2010,536,,,,,,,,,
Hides and skins,2011,289,,,,,,,,,
Hides and skins,2012,72,,,,,,,,,
Hides and skins,2013,76,,,,,,,,,
Hides and skins,2014,1828.57,,,,,,,,,
Hides and skins,2015,2549.81,,,,,,,,,
Hides and skins,2016,1930.57,,,,,,,,,
Hides and skins,2017,1322.62,,,,,,,,,
Hides and skins,2018,1735.62,,,,,,,,,
Hides and skins,2019,4191.72,,,,,,,,,
Hides and skins,2020,4886.94,,,,,,,,,
Crude Materials nes,2000,130.1,,,,,,,,,
Crude Materials nes,2001,182,,,,,,,,,
Crude Materials nes,2002,119,,,,,,,,,
Crude Materials nes,2003,109,,,,,,,,,
Crude Materials nes,2004,119,,,,,,,,,
Crude Materials nes,2005,111,,,,,,,,,
Crude Materials nes,2006,97,,,,,,,,,
Crude Materials nes,2007,113,,,,,,,,,
Crude Materials nes,2008,123,,,,,,,,,
Crude Materials nes,2009,116,,,,,,,,,
Crude Materials nes,2010,88,,,,,,,,,
Crude Materials nes,2011,126,,,,,,,,,
Crude Materials nes,2012,115,,,,,,,,,
Crude Materials nes,2013,128,,,,,,,,,
Crude Materials nes,2014,20,,,,,,,,,
Crude Materials nes,2014,237.2,,,,,,,,,
Crude Materials nes,2015,286.38,,,,,,,,,
Crude Materials nes,2016,0,,,,,,,,,
Crude Materials nes,2016,319.2,,,,,,,,,
Crude Materials nes,2017,0,,,,,,,,,
Crude Materials nes,2017,395.19,,,,,,,,,
Crude Materials nes,2018,0,,,,,,,,,
Crude Materials nes,2018,321.42,,,,,,,,,
Crude Materials nes,2019,0,,,,,,,,,
Crude Materials nes,2019,321.28,,,,,,,,,
Crude Materials nes,2020,0,,,,,,,,,
Crude Materials nes,2020,349.61,,,,,,,,,
Tobacco,2000,7347.48,,,,,,,,,
Tobacco,2001,7649,,,,,,,,,
Tobacco,2002,8260,,,,,,,,,
Tobacco,2003,8951,,,,,,,,,
Tobacco,2004,11579,,,,,,,,,
Tobacco,2005,5200,,,,,,,,,
Tobacco,2006,4332,,,,,,,,,
Tobacco,2007,4669,,,,,,,,,
Tobacco,2008,5319,,,,,,,,,
Tobacco,2009,4805,,,,,,,,,
Tobacco,2010,5152,,,,,,,,,
Tobacco,2011,5009,,,,,,,,,
Tobacco,2012,4549,,,,,,,,,
Tobacco,2013,4530,,,,,,,,,
Tobacco,2014,4843.65,,,,,,,,,
Tobacco,2015,4810.27,,,,,,,,,
Tobacco,2016,4663.04,,,,,,,,,
Tobacco,2017,4641.03,,,,,,,,,
Tobacco,2018,4502.25,,,,,,,,,
Tobacco,2019,4165.22,,,,,,,,,
Tobacco,2020,5116.2,,,,,,,,,
"Cereals, primary",2000,293697.03,,,,,,,,,
"Cereals, primary",2001,368276,,,,,,,,,
"Cereals, primary",2002,430450,,,,,,,,,
"Cereals, primary",2003,428706,,,,,,,,,
"Cereals, primary",2004,308127,,,,,,,,,
"Cereals, primary",2005,197704,,,,,,,,,
"Cereals, primary",2006,334948,,,,,,,,,
"Cereals, primary",2007,507472,,,,,,,,,
"Cereals, primary",2008,571096,,,,,,,,,
"Cereals, primary",2009,366290,,,,,,,,,
"Cereals, primary",2010,523146,,,,,,,,,
"Cereals, primary",2011,539545,,,,,,,,,
"Cereals, primary",2012,699106,,,,,,,,,
"Cereals, primary",2013,704650,,,,,,,,,
"Cereals, primary",2014,642882.34,,,,,,,,,
"Cereals, primary",2015,459208.45,,,,,,,,,
"Cereals, primary",2016,385195.33,,,,,,,,,
"Cereals, primary",2017,362661.4,,,,,,,,,
"Cereals, primary",2018,634126.01,,,,,,,,,
"Cereals, primary",2019,601646.98,,,,,,,,,
"Cereals, primary",2020,405948.89,,,,,,,,,
"Beef and Buffalo Meat, primary",2000,4010.18,,,,,,,,,
"Beef and Buffalo Meat, primary",2001,6360.3,,,,,,,,,
"Beef and Buffalo Meat, primary",2002,6460.1,,,,,,,,,
"Beef and Buffalo Meat, primary",2003,9381.7,,,,,,,,,
"Beef and Buffalo Meat, primary",2004,8889.7,,,,,,,,,
"Beef and Buffalo Meat, primary",2005,6909.6,,,,,,,,,
"Beef and Buffalo Meat, primary",2006,6407.6,,,,,,,,,
"Beef and Buffalo Meat, primary",2007,11344.7,,,,,,,,,
"Beef and Buffalo Meat, primary",2008,12615.2,,,,,,,,,
"Beef and Buffalo Meat, primary",2009,8790.6,,,,,,,,,
"Beef and Buffalo Meat, primary",2010,6843.8,,,,,,,,,
"Beef and Buffalo Meat, primary",2011,11765.7,,,,,,,,,
"Beef and Buffalo Meat, primary",2012,19135.6,,,,,,,,,
"Beef and Buffalo Meat, primary",2013,15453.7,,,,,,,,,
"Beef and Buffalo Meat, primary",2014,13117.25,,,,,,,,,
"Beef and Buffalo Meat, primary",2015,23896.94,,,,,,,,,
"Beef and Buffalo Meat, primary",2016,23037.05,,,,,,,,,
"Beef and Buffalo Meat, primary",2017,17781.2,,,,,,,,,
"Beef and Buffalo Meat, primary",2018,11903.48,,,,,,,,,
"Beef and Buffalo Meat, primary",2019,11834.03,,,,,,,,,
"Beef and Buffalo Meat, primary",2020,17730.26,,,,,,,,,
Sheep and Goat Meat,2000,872.9,,,,,,,,,
Sheep and Goat Meat,2001,791,,,,,,,,,
Sheep and Goat Meat,2002,918,,,,,,,,,
Sheep and Goat Meat,2003,852,,,,,,,,,
Sheep and Goat Meat,2004,823,,,,,,,,,
Sheep and Goat Meat,2005,713,,,,,,,,,
Sheep and Goat Meat,2006,543,,,,,,,,,
Sheep and Goat Meat,2007,2793,,,,,,,,,
Sheep and Goat Meat,2008,4683,,,,,,,,,
Sheep and Goat Meat,2009,1263,,,,,,,,,
Sheep and Goat Meat,2010,1267,,,,,,,,,
Sheep and Goat Meat,2011,1545,,,,,,,,,
Sheep and Goat Meat,2012,2679,,,,,,,,,
Sheep and Goat Meat,2013,3220,,,,,,,,,
Sheep and Goat Meat,2014,2395.73,,,,,,,,,
Sheep and Goat Meat,2015,1608.34,,,,,,,,,
Sheep and Goat Meat,2016,883.14,,,,,,,,,
Sheep and Goat Meat,2017,370.25,,,,,,,,,
Sheep and Goat Meat,2018,719.34,,,,,,,,,
Sheep and Goat Meat,2019,493.52,,,,,,,,,
Sheep and Goat Meat,2020,298.86,,,,,,,,,
"Meat, Poultry",2000,170.32,,,,,,,,,
"Meat, Poultry",2001,114,,,,,,,,,
"Meat, Poultry",2002,84,,,,,,,,,
"Meat, Poultry",2003,123,,,,,,,,,
"Meat, Poultry",2004,183,,,,,,,,,
"Meat, Poultry",2005,384,,,,,,,,,
"Meat, Poultry",2006,352,,,,,,,,,
"Meat, Poultry",2007,215,,,,,,,,,
"Meat, Poultry",2008,286,,,,,,,,,
"Meat, Poultry",2009,652,,,,,,,,,
"Meat, Poultry",2010,118,,,,,,,,,
"Meat, Poultry",2011,156,,,,,,,,,
"Meat, Poultry",2012,1707,,,,,,,,,
"Meat, Poultry",2013,1170,,,,,,,,,
"Meat, Poultry",2014,493.59,,,,,,,,,
"Meat, Poultry",2015,829.75,,,,,,,,,
"Meat, Poultry",2016,896.34,,,,,,,,,
"Meat, Poultry",2017,719.56,,,,,,,,,
"Meat, Poultry",2018,738.23,,,,,,,,,
"Meat, Poultry",2019,961.42,,,,,,,,,
"Meat, Poultry",2020,1151.34,,,,,,,,,
Butter and Ghee,2000,1388.04,,,,,,,,,
Butter and Ghee,2001,1320,,,,,,,,,
Butter and Ghee,2002,2752.2,,,,,,,,,
Butter and Ghee,2003,1900.8,,,,,,,,,
Butter and Ghee,2004,2310,,,,,,,,,
Butter and Ghee,2005,2613.6,,,,,,,,,
Butter and Ghee,2006,2171.4,,,,,,,,,
Butter and Ghee,2007,1854.6,,,,,,,,,
Butter and Ghee,2008,2422.2,,,,,,,,,
Butter and Ghee,2009,2336.4,,,,,,,,,
Butter and Ghee,2010,963.6,,,,,,,,,
Butter and Ghee,2011,13741.2,,,,,,,,,
Butter and Ghee,2012,13543.2,,,,,,,,,
Butter and Ghee,2013,2692.8,,,,,,,,,
Butter and Ghee,2014,2856.07,,,,,,,,,
Butter and Ghee,2015,2378.48,,,,,,,,,
Butter and Ghee,2016,2592.79,,,,,,,,,
Butter and Ghee,2017,1994.01,,,,,,,,,
Butter and Ghee,2018,2311.64,,,,,,,,,
Butter and Ghee,2019,2427.04,,,,,,,,,
Butter and Ghee,2020,3712.86,,,,,,,,,
Cheese (All Kinds),2000,12902,,,,,,,,,
Cheese (All Kinds),2001,13918.4,,,,,,,,,
Cheese (All Kinds),2002,18598,,,,,,,,,
Cheese (All Kinds),2003,22373.8,,,,,,,,,
Cheese (All Kinds),2004,27161.2,,,,,,,,,
Cheese (All Kinds),2005,32194.2,,,,,,,,,
Cheese (All Kinds),2006,33293.4,,,,,,,,,
Cheese (All Kinds),2007,35511.6,,,,,,,,,
Cheese (All Kinds),2008,36577.4,,,,,,,,,
Cheese (All Kinds),2009,37508.2,,,,,,,,,
Cheese (All Kinds),2010,41115.6,,,,,,,,,
Cheese (All Kinds),2011,46729.8,,,,,,,,,
Cheese (All Kinds),2012,49052.4,,,,,,,,,
Cheese (All Kinds),2013,48771,,,,,,,,,
Cheese (All Kinds),2014,50789.24,,,,,,,,,
Cheese (All Kinds),2015,53461.79,,,,,,,,,
Cheese (All Kinds),2016,57250.55,,,,,,,,,
Cheese (All Kinds),2017,59519.44,,,,,,,,,
Cheese (All Kinds),2018,63666.11,,,,,,,,,
Cheese (All Kinds),2019,66660.69,,,,,,,,,
Cheese (All Kinds),2020,74364.21,,,,,,,,,
Evaporated & Condensed Milk,2000,49.68,,,,,,,,,
Evaporated & Condensed Milk,2001,50.4,,,,,,,,,
Evaporated & Condensed Milk,2002,302.4,,,,,,,,,
Evaporated & Condensed Milk,2003,308.7,,,,,,,,,
Evaporated & Condensed Milk,2004,304.5,,,,,,,,,
Evaporated & Condensed Milk,2005,417.9,,,,,,,,,
Evaporated & Condensed Milk,2006,476.7,,,,,,,,,
Evaporated & Condensed Milk,2007,588,,,,,,,,,
Evaporated & Condensed Milk,2008,669.9,,,,,,,,,
Evaporated & Condensed Milk,2009,678.3,,,,,,,,,
Evaporated & Condensed Milk,2010,663.6,,,,,,,,,
Evaporated & Condensed Milk,2011,686.7,,,,,,,,,
Evaporated & Condensed Milk,2012,819,,,,,,,,,
Evaporated & Condensed Milk,2013,892.5,,,,,,,,,
Evaporated & Condensed Milk,2014,949.63,,,,,,,,,
Evaporated & Condensed Milk,2015,1288.96,,,,,,,,,
Evaporated & Condensed Milk,2016,1561.33,,,,,,,,,
Evaporated & Condensed Milk,2017,1475.05,,,,,,,,,
Evaporated & Condensed Milk,2018,1496.07,,,,,,,,,
Evaporated & Condensed Milk,2019,1628.33,,,,,,,,,
Evaporated & Condensed Milk,2020,1936.72,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2000,44.28,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2001,53.2,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2002,7.6,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2003,53.2,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2004,433.2,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2005,805.6,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2006,836,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2007,1071.6,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2008,1565.6,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2009,1763.2,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2010,1542.8,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2011,1390.8,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2012,1710,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2013,1337.6,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2014,1734.3,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2015,2515.88,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2016,2167.41,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2017,2319.82,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2018,2816.89,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2019,2838.11,,,,,,,,,
"Skim Milk & Buttermilk, Dry",2020,6865.71,,,,,,,,,
"Dairy Products, milk equivalent",2000,1552.11,,,,,,,,,
"Dairy Products, milk equivalent",2001,1546.8,,,,,,,,,
"Dairy Products, milk equivalent",2002,3372.1,,,,,,,,,
"Dairy Products, milk equivalent",2003,2522.7,,,,,,,,,
"Dairy Products, milk equivalent",2004,3406.3,,,,,,,,,
"Dairy Products, milk equivalent",2005,4475.3,,,,,,,,,
"Dairy Products, milk equivalent",2006,4045.7,,,,,,,,,
"Dairy Products, milk equivalent",2007,4288.8,,,,,,,,,
"Dairy Products, milk equivalent",2008,5206.1,,,,,,,,,
"Dairy Products, milk equivalent",2009,5101.1,,,,,,,,,
"Dairy Products, milk equivalent",2010,5150.4,,,,,,,,,
"Dairy Products, milk equivalent",2011,17505.3,,,,,,,,,
"Dairy Products, milk equivalent",2012,16857.7,,,,,,,,,
"Dairy Products, milk equivalent",2013,5681.2,,,,,,,,,
"Dairy Products, milk equivalent",2014,6580.98,,,,,,,,,
"Dairy Products, milk equivalent",2015,6841.41,,,,,,,,,
"Dairy Products, milk equivalent",2016,7005.18,,,,,,,,,
"Dairy Products, milk equivalent",2017,6567.31,,,,,,,,,
"Dairy Products, milk equivalent",2018,7287.25,,,,,,,,,
"Dairy Products, milk equivalent",2019,7602.19,,,,,,,,,
"Dairy Products, milk equivalent",2020,13543.69,,,,,,,,,
