Item,Year,Value (tons),,,,,,,,,
Cereals,2000,310265.56,,,,Row Labels,Sum of Value (tons),Norway Population,Per Capita Imports,Area_population,Area_Imports (Tons)
Bovine Meat,2014,13530.81,,,,,,,,,
Bovine Meat,2015,24251.89,,,,,,,,,
Bovine Meat,2016,23422.81,,,,,,,,,
Bovine Meat,2017,18087.18,,,,,,,,,
Bovine Meat,2018,12463.19,,,,,,,,,
Bovine Meat,2019,12539.82,,,,,,,,,
Bovine Meat,2020,18190.33,,,,,,,,,
Poultry Meat,2000,308.09,,,,,,,,,
Poultry Meat,2001,270.75,,,,,,,,,
Poultry Meat,2002,284.35,,,,,,,,,
Poultry Meat,2003,513.45,,,,,,,,,
Poultry Meat,2004,709.4,,,,,,,,,
Poultry Meat,2005,1780.6,,,,,,,,,
Poultry Meat,2006,914.2,,,,,,,,,
Poultry Meat,2007,963,,,,,,,,,
Poultry Meat,2008,1284.05,,,,,,,,,
Poultry Meat,2009,1663,,,,,,,,,
Poultry Meat,2010,1069.9,,,,,,,,,
Poultry Meat,2011,1199.55,,,,,,,,,
Poultry Meat,2012,2945.95,,,,,,,,,
Poultry Meat,2013,2589.6,,,,,,,,,
Poultry Meat,2014,1865.63,,,,,,,,,
Poultry Meat,2015,2414.97,,,,,,,,,
Poultry Meat,2016,2711.1,,,,,,,,,
Poultry Meat,2017,2678.47,,,,,,,,,
Poultry Meat,2018,2874.56,,,,,,,,,
Poultry Meat,2019,3590.59,,,,,,,,,
Poultry Meat,2020,3719.16,,,,,,,,,
Pigmeat (meat equivalent),2000,2312.87,,,,,,,,,
Pigmeat (meat equivalent),2001,1901.15,,,,,,,,,
Pigmeat (meat equivalent),2002,1487.5,,,,,,,,,
Pigmeat (meat equivalent),2003,3263.1,,,,,,,,,
Pigmeat (meat equivalent),2004,3483.45,,,,,,,,,
Pigmeat (meat equivalent),2005,5473.5,,,,,,,,,
Pigmeat (meat equivalent),2006,4018.15,,,,,,,,,
Pigmeat (meat equivalent),2007,8884.25,,,,,,,,,
Pigmeat (meat equivalent),2008,3887.75,,,,,,,,,
Pigmeat (meat equivalent),2009,2417.9,,,,,,,,,
Pigmeat (meat equivalent),2010,3517.4,,,,,,,,,
Pigmeat (meat equivalent),2011,3768.8,,,,,,,,,
Pigmeat (meat equivalent),2012,3546.1,,,,,,,,,
Pigmeat (meat equivalent),2013,6357.35,,,,,,,,,
Pigmeat (meat equivalent),2014,6301.71,,,,,,,,,
Pigmeat (meat equivalent),2015,4061.79,,,,,,,,,
Pigmeat (meat equivalent),2016,3479.2,,,,,,,,,
Pigmeat (meat equivalent),2017,3318.83,,,,,,,,,
Pigmeat (meat equivalent),2018,3619.78,,,,,,,,,
Pigmeat (meat equivalent),2019,4023.18,,,,,,,,,
Pigmeat (meat equivalent),2020,9881,,,,,,,,,
Other Meat,2000,1611.8,,,,,,,,,
Other Meat,2001,1897,,,,,,,,,
Other Meat,2002,1913,,,,,,,,,
Other Meat,2003,1805,,,,,,,,,
Other Meat,2004,1469,,,,,,,,,
Other Meat,2005,1473,,,,,,,,,
Other Meat,2006,1158,,,,,,,,,
Other Meat,2007,3393,,,,,,,,,
Other Meat,2008,5305,,,,,,,,,
Other Meat,2009,1645,,,,,,,,,
Other Meat,2010,1623,,,,,,,,,
Other Meat,2011,1936,,,,,,,,,
Other Meat,2012,3039,,,,,,,,,
Other Meat,2013,3680,,,,,,,,,
Other Meat,2014,3057.18,,,,,,,,,
Other Meat,2015,2212.3,,,,,,,,,
Other Meat,2016,1484.47,,,,,,,,,
Other Meat,2017,943.9,,,,,,,,,
Other Meat,2018,1301.86,,,,,,,,,
Other Meat,2019,1048.48,,,,,,,,,
Other Meat,2020,888.5,,,,,,,,,
Sugar and Honey,2000,282407.74,,,,,,,,,
Sugar and Honey,2001,255102,,,,,,,,,
Sugar and Honey,2002,263130,,,,,,,,,
Sugar and Honey,2003,276756,,,,,,,,,
Sugar and Honey,2004,264186,,,,,,,,,
Sugar and Honey,2005,229495,,,,,,,,,
Sugar and Honey,2006,241167,,,,,,,,,
Sugar and Honey,2007,237323,,,,,,,,,
Sugar and Honey,2008,225526,,,,,,,,,
Sugar and Honey,2009,225875,,,,,,,,,
Sugar and Honey,2010,225964,,,,,,,,,
