Year,Export,Import
2014,11.0,84863.0
2015,115758.0,1594461.0
2016,146783.0,1452371.0
2017,657205.0,463118.0
2018,302716.0,545260.0
2019,765552.0,344532.0
2020,962528.0,220683.0
