Year,Export,Import
2014,276251.0,12395.0
2015,2691440.0,375179.0
2016,2016670.0,620004.0
2017,916936.0,1555054.0
2018,1854724.0,983066.0
2019,1589047.0,1177760.0
2020,841668.0,1631333.0
